Year,Count
1999,21
2000,23
2001,20
2002,22
2003,21
2004,14
2005,15
2006,28
2007,24
2008,14
2009,30
2010,38
2011,21
2012,50
2013,55
2014,52
2015,58
2016,56
2017,57
2018,51
2019,61
